loss,true_score,hard_score,easy_score,lr,epoch
0.525455,0.477605,0.339460,0.195772,0.000100,1
0.451691,0.569931,0.304636,0.139281,0.000100,2
0.443459,0.578451,0.300038,0.134644,0.000100,3
0.439216,0.582693,0.297867,0.132340,0.000100,4
0.435937,0.585759,0.296826,0.130080,0.000100,5
0.433201,0.588384,0.296387,0.127758,0.000100,6
0.431445,0.590159,0.295778,0.126504,0.000100,7
0.430298,0.591181,0.295699,0.125378,0.000100,8
0.424776,0.595785,0.293025,0.123470,0.000030,9
0.424612,0.595962,0.293170,0.123018,0.000030,10
0.424552,0.596345,0.293032,0.122939,0.000030,11
0.424878,0.596021,0.293318,0.122902,0.000030,12
0.424227,0.596723,0.293059,0.122574,0.000030,13
0.424436,0.596438,0.293077,0.122661,0.000030,14
0.424436,0.596426,0.293135,0.122586,0.000030,15
0.423927,0.597022,0.292828,0.122338,0.000030,16
0.422420,0.597975,0.292074,0.121993,0.000009,17
0.422127,0.598574,0.292144,0.121918,0.000009,18
0.422216,0.598320,0.292085,0.121811,0.000009,19
0.422407,0.598054,0.292119,0.122030,0.000009,20
0.422245,0.598424,0.292073,0.121999,0.000009,21
0.422335,0.598265,0.292071,0.121857,0.000009,22
0.422231,0.598343,0.292120,0.121797,0.000009,23
0.422238,0.598294,0.292136,0.121791,0.000009,24
0.421960,0.598454,0.292060,0.121748,0.000003,25
0.421722,0.598572,0.291833,0.121651,0.000003,26
0.421667,0.598856,0.291992,0.121580,0.000003,27
0.421869,0.598776,0.291974,0.121585,0.000003,28
0.421697,0.598850,0.291902,0.121422,0.000003,29
0.421629,0.598792,0.291890,0.121390,0.000003,30
0.421568,0.599047,0.291870,0.121435,0.000003,31
0.421567,0.598891,0.291749,0.121317,0.000003,32
0.421551,0.598799,0.291862,0.121311,0.000001,33
0.421473,0.598953,0.291828,0.121381,0.000001,34
0.421441,0.599095,0.291845,0.121240,0.000001,35
0.421615,0.598880,0.291832,0.121495,0.000001,36
0.421476,0.598994,0.291873,0.121160,0.000001,37
0.421583,0.598819,0.291762,0.121472,0.000001,38
0.421660,0.598951,0.291878,0.121276,0.000001,39
0.421573,0.598965,0.291803,0.121394,0.000001,40
0.421519,0.598863,0.291840,0.121282,0.000000,41
0.421409,0.599112,0.291858,0.121096,0.000000,42
0.421568,0.598962,0.291740,0.121346,0.000000,43
0.421690,0.598901,0.291941,0.121308,0.000000,44
0.421478,0.598951,0.291823,0.121373,0.000000,45
0.421646,0.598831,0.291917,0.121197,0.000000,46
0.421390,0.599163,0.291792,0.121355,0.000000,47
0.421588,0.598950,0.291717,0.121394,0.000000,48
0.421249,0.599248,0.291743,0.121614,0.000000,49
0.421427,0.599020,0.291782,0.121130,0.000000,50
0.421459,0.599091,0.291789,0.121485,0.000000,51
0.421750,0.598972,0.291910,0.121285,0.000000,52
0.421387,0.599065,0.291732,0.121430,0.000000,53
0.421334,0.599309,0.291867,0.121286,0.000000,54
0.421522,0.598796,0.291623,0.121123,0.000000,55
0.421402,0.599165,0.291942,0.121435,0.000000,56
0.421905,0.598319,0.291819,0.121105,0.000000,57
0.421189,0.599070,0.291612,0.121319,0.000000,58
0.421383,0.599167,0.291840,0.121393,0.000000,59
0.421129,0.599304,0.291658,0.121313,0.000000,60
0.421707,0.598820,0.291833,0.121392,0.000000,61
0.421539,0.598957,0.291842,0.121450,0.000000,62
0.421576,0.598827,0.291907,0.121377,0.000000,63
0.421346,0.599088,0.291830,0.121389,0.000000,64
0.421405,0.599225,0.291871,0.121368,0.000000,65
0.421648,0.599017,0.291911,0.121530,0.000000,66
0.421087,0.599280,0.291692,0.121389,0.000000,67
0.421378,0.599314,0.291898,0.121512,0.000000,68
0.421120,0.599358,0.291727,0.121420,0.000000,69
0.421296,0.599522,0.291876,0.121496,0.000000,70
0.421071,0.599479,0.291781,0.121397,0.000000,71
0.421103,0.599475,0.291849,0.121456,0.000000,72
0.420997,0.599500,0.291776,0.121339,0.000000,73
0.421186,0.599217,0.291715,0.121379,0.000000,74
0.421416,0.599080,0.291789,0.121429,0.000000,75
0.421129,0.599350,0.291653,0.121512,0.000000,76
0.421214,0.599173,0.291718,0.121466,0.000000,77
0.421230,0.599184,0.291665,0.121442,0.000000,78
0.421383,0.599032,0.291737,0.121531,0.000000,79
0.421420,0.599018,0.291788,0.121539,0.000000,80
0.421052,0.599508,0.291774,0.121491,0.000000,81
0.421311,0.599248,0.291744,0.121519,0.000000,82
0.421502,0.599060,0.291793,0.121582,0.000000,83
0.421075,0.599274,0.291644,0.121503,0.000000,84
0.421160,0.599392,0.291820,0.121502,0.000000,85
0.421018,0.599503,0.291700,0.121530,0.000000,86
0.421204,0.599378,0.291882,0.121557,0.000000,87
0.421291,0.599491,0.291898,0.121565,0.000000,88
0.421023,0.599427,0.291778,0.121445,0.000000,89
0.421307,0.599060,0.291739,0.121452,0.000000,90
0.421002,0.599581,0.291782,0.121543,0.000000,91
0.421437,0.599225,0.291991,0.121604,0.000000,92
0.421217,0.599330,0.291794,0.121570,0.000000,93
0.421202,0.599265,0.291798,0.121538,0.000000,94
0.421408,0.599279,0.291901,0.121537,0.000000,95
0.421351,0.599288,0.291871,0.121631,0.000000,96
0.421366,0.599158,0.291792,0.121566,0.000000,97
0.421389,0.599101,0.291824,0.121573,0.000000,98
0.421379,0.599102,0.291762,0.121517,0.000000,99
0.421069,0.599527,0.291781,0.121456,0.000000,100
