loss,lr,epoch
0.261813,0.000100,1
0.191069,0.000100,2
0.145603,0.000100,3
0.131730,0.000100,4
0.123079,0.000100,5
0.117741,0.000100,6
0.114579,0.000100,7
0.112098,0.000100,8
0.110224,0.000100,9
0.108148,0.000100,10
0.097728,0.000030,11
0.096032,0.000030,12
0.095167,0.000030,13
0.094631,0.000030,14
0.093915,0.000030,15
0.093478,0.000030,16
0.092964,0.000030,17
0.092461,0.000030,18
0.092014,0.000030,19
0.091673,0.000030,20
0.086651,0.000009,21
0.085965,0.000009,22
0.085651,0.000009,23
0.085421,0.000009,24
0.085149,0.000009,25
0.084881,0.000009,26
0.084686,0.000009,27
0.084419,0.000009,28
0.084301,0.000009,29
0.084113,0.000009,30
